"","user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"953","299625000","1344880414536605696","2021-01-01 05:37:32","stellar_meme","@leighsales My opinion of @ABCaustralia is fast declining <U+0001F622>","Twitter for Android","47","1344807126208692224","26607837","leighsales","FALSE","FALSE","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""26607837"", ""16714896"")","c(""leighsales"", ""ABCaustralia"")","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/stellar_meme/status/1344880414536605696","Simon Campbell <U+0001F369><U+0001F369><U+0001F369>","Melb, Aus, Milky Way galaxy","PhD in Astrophysics, interested in politics, equity/fairness, democracy... #FederalICACnow. 
Also, it really is climate *emergency* time!",NA,"FALSE","314","754","3","9309","16496","2011-05-16 12:29:25","FALSE",NA,NA,NA,NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1603383147/soho_normal.jpg"
"954","1096681527654510592","1344878836631027713","2021-01-01 05:31:15","GHellbitches","The @ABCaustralia used to be a bastion for  truth in the 80s and 90s but since yourself and Ms. Buttrose have taken over, there has been an obvious prejudice against a large portion of Australians. Considering LNP didn't win popular vote, I would expect insulting us","Twitter for Android","266","1344878835049717761","1096681527654510592","GHellbitches","FALSE","FALSE","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16714896","ABCaustralia","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/GHellbitches/status/1344878836631027713","<U+0001F176><U+0001F17E><U+0001F183><U+0001F17E> <U+0001F177><U+0001F174><U+0001F17B><U+0001F17B><U+0001F171><U+0001F178><U+0001F183><U+0001F172><U+0001F177><U+0001F174><U+0001F182>","Nowhere and Everywhere","I'm done playing nice. I vent but will gladly have decent conversations across the divide, if you answer questions, I will.",NA,"FALSE","219","878","0","7565","17133","2019-02-16 08:03:46","FALSE",NA,NA,NA,NA,"http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1268489584389713920/xMYJWsfK_normal.jpg"
"955","1265663843914510336","1344878827428741120","2021-01-01 05:31:13","awambmrgw","@BrentAllpress @australia_wake @David_Speers @ABCaustralia Less a journalist for the ABC, more of an agent provocateur for ROOPERT.","Twitter for Android","72","1344859121548283909","3185540346","BrentAllpress","FALSE","FALSE","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""3185540346"", ""1300300982501298176"", ""46260680"", ""16714896"")","c(""BrentAllpress"", ""australia_wake"", ""David_Speers"", ""ABCaustralia"")","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/awambmrgw/status/1344878827428741120","Awambmrgw","Perth, Western Australia","Guest on Whadjuk country",NA,"FALSE","387","1283","0","34017","55126","2020-05-27 15:19:38","FALSE",NA,NA,NA,NA,NA,"http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png"
"956","22431925","1344876550022258688","2021-01-01 05:22:10","Ianrob12","@artfulbunny @PRGuy17 @David_Speers Yep!  Hey thanks @abcnews  and @ABCaustralia .The actions of  @David_Speers  has made me avoid your network this year! Hope more people follow suit, so little dave and other 'journalists' might learn what that means and not just to be a partisan mouthpiece for vested interests.","Twitter Web App","278","1344875050944532480","1267945259675250688","artfulbunny","FALSE","FALSE","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""1267945259675250688"", ""1238370241169616897"", ""46260680"", ""2768501"", ""16714896"", ""46260680"")","c(""artfulbunny"", ""PRGuy17"", ""David_Speers"", ""abcnews"", ""ABCaustralia"", ""David_Speers"")","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/Ianrob12/status/1344876550022258688","ianrobertson #VicStandsWithNSW","Melbourne,  Australia","<U+270A><U+0001F3FC>Progressive/Queer. <U+0001F3F3><U+FE0F><U+200D><U+0001F308>ABBA/Debbie Harry/EurovisionTragic. 
<U+0001F429><U+0001F429> Dad. Camp as. Possibly a stereotype. Maintain The Rage! (& enthusiasm) #climatehope <U+0001F33F>",NA,"FALSE","375","951","1","14023","13562","2009-03-02 01:09:23","FALSE",NA,NA,NA,"https://pbs.twimg.com/profile_banners/22431925/1609504236","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1311250726031556609/jds68KDW_normal.jpg"
"957","22431925","1344868262559956993","2021-01-01 04:49:14","Ianrob12","@Gtrain62 @David_Speers @abcnews Yep. He is absolutely useless.
Onya @David_Speers giving more reasons to ignore what once was a good broadcaster.
Shame on you @ABCaustralia he is appalling.
#ThisisNotJournalism","Twitter Web App","178","1344866944244060160","969094527033139200","Gtrain62","FALSE","FALSE","2","1",NA,NA,"ThisisNotJournalism",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""969094527033139200"", ""46260680"", ""2768501"", ""46260680"", ""16714896"")","c(""Gtrain62"", ""David_Speers"", ""abcnews"", ""David_Speers"", ""ABCaustralia"")","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/Ianrob12/status/1344868262559956993","ianrobertson #VicStandsWithNSW","Melbourne,  Australia","<U+270A><U+0001F3FC>Progressive/Queer. <U+0001F3F3><U+FE0F><U+200D><U+0001F308>ABBA/Debbie Harry/EurovisionTragic. 
<U+0001F429><U+0001F429> Dad. Camp as. Possibly a stereotype. Maintain The Rage! (& enthusiasm) #climatehope <U+0001F33F>",NA,"FALSE","375","951","1","14023","13562","2009-03-02 01:09:23","FALSE",NA,NA,NA,"https://pbs.twimg.com/profile_banners/22431925/1609504236","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1311250726031556609/jds68KDW_normal.jpg"
"958","172292166","1344875510006890496","2021-01-01 05:18:02","MisdaMagoo","@David_Speers Bullshit. @ABCaustralia Please encourage @David_Speers to remove his ill informed and misleading tweet. Thankyou. @abcnews","Twitter Web App","140",NA,NA,NA,"FALSE","TRUE","0","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""25284832"", ""46260680"", ""16714896"", ""46260680"")","c(""Hojpojj"", ""David_Speers"", ""ABCaustralia"", ""David_Speers"")","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1344874940080615425","@David_Speers Bullshit. @ABCaustralia Please encourage @David_Speers to remove his ill informed and misleading tweet. Thankyou. @abcnews","2021-01-01 05:15:46","Twitter for iPhone","4","1","25284832","Hojpojj","<U+0001F4A7>Mr Hojpojj","867","2196","22206","Gamaraigal country, Sydney","... 'Scuse me, while I kiss the sky.   No DMs unless we’ve had some public conversation, thanks.","FALSE",NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/MisdaMagoo/status/1344875510006890496","~~ Sir Magoo ~~","Down At The Crossroads","Music nut, Coffee, Dad, Jeepster, Camper, Fisher, Waves, D1&D2@XB1.  Rusted on ALP.  Mad EFC. MUFC.","https://t.co/jYhKPH2VDT","FALSE","2803","4390","40","37549","14137","2010-07-29 10:27:14","FALSE","https://t.co/jYhKPH2VDT","http://www.RWNJsMakeMePuke.com",NA,"https://pbs.twimg.com/profile_banners/172292166/1548317798","http://abs.twimg.com/images/themes/theme5/bg.gif","http://pbs.twimg.com/profile_images/1294636930278154240/R68mGBDW_normal.jpg"
"959","25284832","1344874940080615425","2021-01-01 05:15:46","Hojpojj","@David_Speers Bullshit. @ABCaustralia Please encourage @David_Speers to remove his ill informed and misleading tweet. Thankyou. @abcnews","Twitter for iPhone","122","1344805146778247170","46260680","David_Speers","FALSE","FALSE","4","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""46260680"", ""16714896"", ""46260680"", ""2768501"")","c(""David_Speers"", ""ABCaustralia"", ""David_Speers"", ""abcnews"")","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/Hojpojj/status/1344874940080615425","<U+0001F4A7>Mr Hojpojj","Gamaraigal country, Sydney","... 'Scuse me, while I kiss the sky.   No DMs unless we’ve had some public conversation, thanks.",NA,"FALSE","867","2196","27","22206","28864","2009-03-19 12:50:58","FALSE",NA,NA,NA,"https://pbs.twimg.com/profile_banners/25284832/1573442894","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/482172408602697729/ObcrgxcU_normal.jpeg"
"960","1048512987093336064","1344874481743872000","2021-01-01 05:13:57","BobBrace2","@BrentAllpress @DameEmpress @David_Speers @ABCaustralia He's deliberately left it up even though others requested he take it down. He's in breach of twitter rules now.","Twitter Web App","111","1344859121548283909","3185540346","BrentAllpress","FALSE","FALSE","3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""3185540346"", ""252976488"", ""46260680"", ""16714896"")","c(""BrentAllpress"", ""DameEmpress"", ""David_Speers"", ""ABCaustralia"")","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/BobBrace2/status/1344874481743872000","Bob Brace","Queensland","",NA,"FALSE","597","359","0","112068","59173","2018-10-06 09:59:11","FALSE",NA,NA,NA,"https://pbs.twimg.com/profile_banners/1048512987093336064/1538857113",NA,"http://pbs.twimg.com/profile_images/1178236003401654277/Whz-mTcu_normal.jpg"
"961","144444997","1344874002070843394","2021-01-01 05:12:03","susanstevo","@KriedemannMark @CentralNewsUTS @7NewsSydney @smh @ABCaustralia @australian @9NewsAUS @newscomauHQ A tad spooky.","Twitter for iPhone","13","1344861489920761859","1106174438607740928","KriedemannMark","FALSE","FALSE","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""1106174438607740928"", ""824047388733997056"", ""156464691"", ""16675569"", ""16714896"", ""9609632"", ""22993014"", ""15250661"")","c(""KriedemannMark"", ""CentralNewsUTS"", ""7NewsSydney"", ""smh"", ""ABCaustralia"", ""australian"", ""9NewsAUS"", ""newscomauHQ"")","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/susanstevo/status/1344874002070843394","Sue Stephenson","Sydney, Australia","Journalist and News Producer // Lecturer @UTSFASS",NA,"FALSE","1339","1271","36","3105","3188","2010-05-16 09:17:51","TRUE",NA,NA,NA,"https://pbs.twimg.com/profile_banners/144444997/1555825426","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1067391891715444737/89gg8HkC_normal.jpg"
"962","318000987","1344873619684347904","2021-01-01 05:10:32","brownwsteve","@BrentAllpress @David_Speers @ABCaustralia @abcnews @InsidersABC @ABCmediawatch The adverse public health impacts are caused by the closed/under resourced testing sites. Thank god David is drawing @VicGovDHHS attention to the problem.","Twitter for iPhone","154","1344860908984520707","3185540346","BrentAllpress","FALSE","FALSE","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(""3185540346"", ""46260680"", ""16714896"", ""2768501"", ""1113341312"", ""23046015"", ""43064490"")","c(""BrentAllpress"", ""David_Speers"", ""ABCaustralia"", ""abcnews"", ""InsidersABC"", ""ABCmediawatch"", ""VicGovDHHS"")","en",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"c(NA, NA)","c(NA, NA)","c(NA, NA, NA, NA, NA, NA, NA, NA)","https://twitter.com/brownwsteve/status/1344873619684347904","teeveeapple","Melbourne","",NA,"FALSE","42","206","1","531","4435","2011-06-15 20:16:39","FALSE",NA,NA,NA,"https://pbs.twimg.com/profile_banners/318000987/1492935051","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1313077014044180480/ooHE4d2r_normal.jpg"
